,Track,Artist,Region,Country,Sub_Region,Track_n_Region,days_on_chart,first_appeared_date
940747,"今生今世(電影""金枝玉葉""歌曲)",張國榮,hk,Hong Kong,Eastern Asia,"今生今世(電影""金枝玉葉""歌曲) hk",1,3/31/2017
940749,Mess Is Mine,Vance Joy,hk,Hong Kong,Eastern Asia,Mess Is Mine hk,1,2/13/2017
940750,Dancing In The Dark,Imagine Dragons,hk,Hong Kong,Eastern Asia,Dancing In The Dark hk,1,6/22/2017
940760,有心人,古巨基,hk,Hong Kong,Eastern Asia,有心人 hk,2,3/2/2017
940762,傷心到變形,Kwan Gor,hk,Hong Kong,Eastern Asia,傷心到變形 hk,1,7/13/2017
940767,The Heart Part 4,Kendrick Lamar,hk,Hong Kong,Eastern Asia,The Heart Part 4 hk,2,3/26/2017
940769,ZUTTER (GD&T.O.P),BIGBANG,hk,Hong Kong,Eastern Asia,ZUTTER (GD&T.O.P) hk,1,1/22/2017
940773,Forever,EXO,hk,Hong Kong,Eastern Asia,Forever hk,1,7/18/2017
940779,Body to Body,Mike Perry,hk,Hong Kong,Eastern Asia,Body to Body hk,1,4/25/2017
940782,"當年情 - 電影 ""英雄本色"" 主題曲",張國榮,hk,Hong Kong,Eastern Asia,"當年情 - 電影 ""英雄本色"" 主題曲 hk",1,3/31/2017
940805,Don't Say No,SEOHYUN,hk,Hong Kong,Eastern Asia,Don't Say No hk,1,1/19/2017
940806,Points Of Authority,Linkin Park,hk,Hong Kong,Eastern Asia,Points Of Authority hk,1,7/20/2017
940807,...Baby One More Time - Recorded at Spotify Studios NYC,Ed Sheeran,hk,Hong Kong,Eastern Asia,...Baby One More Time - Recorded at Spotify Studios NYC hk,1,6/8/2017
940809,天涯過客,周杰倫,hk,Hong Kong,Eastern Asia,天涯過客 hk,1,1/16/2017
940819,好時辰,張敬軒,hk,Hong Kong,Eastern Asia,好時辰 hk,2,2/9/2017
940834,Glow,Drake,hk,Hong Kong,Eastern Asia,Glow hk,2,3/19/2017
